tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0037310,2.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",36,1.0,nm0002104,movie,Standing Room Only,0.0,\N,83.0,Standing Room Only,1944,"Comedy,Romance,War",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",34,2
tt0037340,1.0,nm0355095,Jack Haley,"tt0032138,tt0039075,tt0038091,tt0037151",47,2.0,nm0384948,movie,Take It Big,0.0,\N,75.0,Take It Big,1944,"Comedy,Music,Romance",Harriet Nelson,1909,1994,"actress,soundtrack,archive_footage","tt0044230,tt0035854,tt0027630,tt0034572",35,12
tt0037475,2.0,nm0426708,Johnny Johnston,"tt0040565,tt0049682,tt0047780,tt0035216",29,1.0,nm0722384,movie,You Can't Ration Love,0.0,\N,78.0,You Can't Ration Love,1944,"Comedy,Musical,Romance",Betty Jane Rhodes,1921,2011,"actress,soundtrack,archive_footage","tt0037475,tt0036327,tt0035216,tt0029145",23,6
tt0037498,2.0,nm0107575,George Brent,"tt0031210,tt0024034,tt0031835,tt0040556",41,1.0,nm0000021,movie,The Affairs of Susan,0.0,\N,110.0,The Affairs of Susan,1945,"Comedy,Drama,Romance",Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969",28,13
tt0037849,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",38,1.0,nm0002104,movie,Kitty,0.0,\N,103.0,Kitty,1945,"Drama,History,Romance",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",35,3
tt0037885,2.0,nm0001072,Joseph Cotten,"tt0041959,tt0033467,tt0036855,tt0035015",40,1.0,nm0428354,movie,Love Letters,0.0,\N,101.0,Love Letters,1945,"Drama,Mystery,Romance",Jennifer Jones,1919,2009,"actress,soundtrack,archive_footage","tt0072308,tt0036377,tt0048316,tt0037280",26,14
tt0037903,2.0,nm0194742,Arturo de Córdova,"tt0042434,tt0045260,tt0187005,tt0040075",37,1.0,nm0483787,movie,Masquerade in Mexico,0.0,\N,96.0,Masquerade in Mexico,1945,"Comedy,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",31,6
tt0037964,1.0,nm0102787,Eddie Bracken,"tt0036891,tt0085995,tt0037077,tt0107985",30,2.0,nm0000043,movie,Out of This World,0.0,\N,96.0,Out of This World,1945,"Comedy,Music,Romance",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",23,7
tt0038119,2.0,nm0280178,Barry Fitzgerald,"tt0045061,tt0036872,tt0033729,tt0037515",57,1.0,nm0002149,movie,The Stork Club,0.0,\N,98.0,The Stork Club,1945,"Comedy,Musical,Romance",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",24,33
tt0038263,1.0,nm0191950,Robert Cummings,"tt0046912,tt0035279,tt0047752,tt0039583",35,2.0,nm0779507,movie,You Came Along,0.0,\N,103.0,You Came Along,1945,"Drama,Romance",Lizabeth Scott,1922,2015,"actress,soundtrack,archive_footage","tt0041968,tt0038988,tt0040695,tt0039482",23,12
tt0038370,1.0,nm0000001,Fred Astaire,"tt0072308,tt0050419,tt0053137,tt0027125",47,3.0,nm0146542,movie,Blue Skies,0.0,\N,99.0,Blue Skies,1946,"Comedy,Musical,Romance",Joan Caulfield,1922,1991,"actress,soundtrack,archive_footage","tt0038747,tt0039307,tt0039941,tt0040754",24,23
tt0038383,2.0,nm0191950,Robert Cummings,"tt0046912,tt0035279,tt0047752,tt0039583",36,1.0,nm0001766,movie,The Bride Wore Boots,0.0,\N,85.0,The Bride Wore Boots,1946,"Adventure,Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",39,-3
tt0038618,1.0,nm0307326,William Gargan,"tt0024617,tt0023369,tt0040112,tt0024097",41,2.0,nm0736939,movie,Hot Cargo,0.0,\N,57.0,Hot Cargo,1946,"Adventure,Drama,Romance",Jean Rogers,1916,1991,"actress,soundtrack,archive_footage","tt0027623,tt0032325,tt0033227,tt0038618",30,11
tt0038815,3.0,nm0002046,Brian Donlevy,"tt0031088,tt0041503,tt0034798,tt0050873",45,1.0,nm0751149,movie,Our Hearts Were Growing Up,0.0,\N,83.0,Our Hearts Were Growing Up,1946,"Adventure,Comedy,Romance",Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",22,23
tt0039040,2.0,nm0526184,John Lund,"tt0049314,tt0043792,tt0056093,tt0040367",35,1.0,nm0000014,movie,To Each His Own,0.0,\N,122.0,To Each His Own,1946,"Drama,Romance",Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806",30,5
tt0039098,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",39,1.0,nm0000014,movie,The Well Groomed Bride,0.0,\N,75.0,The Well Groomed Bride,1946,"Comedy,Romance",Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806",30,9
tt0039307,2.0,nm0000034,William Holden,"tt0046359,tt0047437,tt0043014,tt0074958",29,1.0,nm0146542,movie,Dear Ruth,0.0,\N,95.0,Dear Ruth,1947,"Comedy,Romance",Joan Caulfield,1922,1991,"actress,soundtrack,archive_footage","tt0038747,tt0039307,tt0039941,tt0040754",25,4
tt0039487,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",39,2.0,nm0942863,movie,The Imperfect Lady,0.0,\N,97.0,The Imperfect Lady,1946,"Drama,Romance",Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534",28,11
tt0039698,2.0,nm0526184,John Lund,"tt0049314,tt0043792,tt0056093,tt0040367",36,1.0,nm0002149,movie,The Perils of Pauline,0.0,\N,96.0,The Perils of Pauline,1947,"Drama,Romance",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",26,10
tt0039917,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",40,2.0,nm0942863,movie,The Trouble with Women,0.0,\N,80.0,The Trouble with Women,1947,"Comedy,Romance",Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534",29,11
tt0040071,2.0,nm0191950,Robert Cummings,"tt0046912,tt0035279,tt0047752,tt0039583",39,1.0,nm0949835,movie,The Accused,0.0,\N,101.0,The Accused,1949,"Drama,Film-Noir,Romance",Loretta Young,1913,2000,"actress,producer,soundtrack","tt0038991,tt0039370,tt0024334,tt0032397",36,3
tt0040302,2.0,nm0136994,Macdonald Carey,"tt0036342,tt0058796,tt0043736,tt0039873",35,1.0,nm0002149,movie,Dream Girl,0.0,\N,85.0,Dream Girl,1948,"Comedy,Romance",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",27,8
tt0040317,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",45,2.0,nm0000021,movie,The Emperor Waltz,0.0,\N,106.0,The Emperor Waltz,1948,"Comedy,Musical,Romance",Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969",31,14
