tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0038496,1.0,nm0113902,Johnny Mack Brown,"tt0039950,tt0030137,tt0034640,tt0029126",42,2.0,nm0142568,movie,Drifting Along,0.0,\N,60.0,movie,Drifting Along,Drifting Along,0,1946,\N,60,Western,Lynne Carver,1916,1955,"actress,soundtrack,archive_footage","tt0028661,tt0032422,tt0030108,tt0031133",30,12
tt0038499,2.0,nm0001072,Joseph Cotten,"tt0041959,tt0033467,tt0036855,tt0035015",41,1.0,nm0428354,movie,Duel in the Sun,0.0,\N,129.0,movie,Duel in the Sun,Duel in the Sun,0,1946,\N,129,"Drama,Romance,Western",Jennifer Jones,1919,2009,"actress,soundtrack,archive_footage","tt0072308,tt0036377,tt0048316,tt0037280",27,14
tt0038507,1.0,nm0141330,Sunset Carson,"tt0038050,tt0037961,tt0038294,tt0036689",26,2.0,nm0363539,movie,The El Paso Kid,0.0,\N,54.0,movie,The El Paso Kid,The El Paso Kid,0,1946,\N,54,Western,Marie Harmon,1923,2021,"actress,archive_footage","tt0038507,tt0163278,tt0040644,tt0037770",23,3
tt0038527,1.0,nm0823633,Charles Starrett,"tt0023194,tt0038467,tt0038527,tt0037218",43,2.0,nm0610275,movie,The Fighting Frontiersman,0.0,\N,61.0,movie,The Fighting Frontiersman,The Fighting Frontiersman,0,1946,\N,61,Western,Helen Mowery,1922,2008,"actress,archive_footage","tt0038527,tt0042192,tt0042181,tt0039751",24,19
tt0038532,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",51,5.0,nm0709905,movie,Fool's Gold,0.0,\N,63.0,movie,Fool's Gold,Fool's Gold,0,1946,\N,63,"Drama,Western",Jane Randolph,1914,2009,"actress,miscellaneous,archive_footage","tt0034587,tt0040068,tt0034717,tt0035854",32,19
tt0038538,1.0,nm0823633,Charles Starrett,"tt0023194,tt0038467,tt0038527,tt0037218",43,5.0,nm0140951,movie,Frontier Gunlaw,0.0,\N,60.0,movie,Frontier Gunlaw,Frontier Gunlaw,0,1946,\N,60,Western,Jean Stevens,1914,1981,"actress,miscellaneous,soundtrack","tt0037218,tt0038538,tt0037078,tt0039020",32,11
tt0038552,1.0,nm0738042,Gilbert Roland,"tt0044391,tt0024548,tt0033028,tt0057940",41,4.0,nm0024738,movie,The Gay Cavalier,0.0,\N,65.0,movie,The Gay Cavalier,The Gay Cavalier,0,1946,\N,65,"Drama,Western",Ramsay Ames,1919,1998,"actress,writer,soundtrack","tt0039701,tt0039957,tt0038349,tt0037099",27,14
tt0038555,1.0,nm0113902,Johnny Mack Brown,"tt0039950,tt0030137,tt0034640,tt0029126",42,2.0,nm0236873,movie,The Gentleman from Texas,0.0,\N,55.0,movie,The Gentleman from Texas,The Gentleman from Texas,0,1946,\N,55,Western,Claudia Drake,1918,1997,"actress,soundtrack,archive_footage","tt0037638,tt0036791,tt0038514,tt0037858",28,14
tt0038556,1.0,nm0185568,Buster Crabbe,"tt0032290,tt0037115,tt0025755,tt0027623",38,3.0,nm0461665,movie,Gentlemen with Guns,0.0,\N,53.0,movie,Gentlemen with Guns,Gentlemen with Guns,0,1946,\N,53,Western,Patricia Knox,1926,2000,"actress,miscellaneous","tt0033469,tt0038856,tt0042611,tt0038556",20,18
tt0038558,1.0,nm0185568,Buster Crabbe,"tt0032290,tt0037115,tt0025755,tt0027623",38,3.0,nm0137511,movie,Ghost of Hidden Valley,0.0,\N,56.0,movie,Ghost of Hidden Valley,Ghost of Hidden Valley,0,1946,\N,56,Western,Jean Carlin,1921,1998,actress,"tt0038397,tt0036609,tt0281208,tt0039108",25,13
