tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F
tt0033947,1.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",33,2.0,nm0552756,movie,New York Town,0.0,\N,94,New York Town,1941,"Comedy,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28
tt0033954,1.0,nm0696481,Robert Preston,"tt0056262,tt0084865,tt0087597,tt0083015",23,2.0,nm0237655,movie,The Night of January 16th,0.0,\N,80,The Night of January 16th,1941,"Crime,Drama,Film-Noir",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
tt0033958,1.0,nm0606431,Chester Morris,"tt0020827,tt0024679,tt0020686,tt0019630",40,2.0,nm0662335,movie,No Hands on the Clock,0.0,\N,76,No Hands on the Clock,1941,"Crime,Mystery",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",26
tt0033981,1.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",33,2.0,nm0140914,movie,One Night in Lisbon,0.0,\N,97,One Night in Lisbon,1941,Comedy,Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",35
tt0033989,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",46,5.0,nm0680482,movie,Outlaws of the Desert,0.0,\N,66,Outlaws of the Desert,1941,"Drama,Western",Jean Phillips,1914,1970,actress,"tt0033954,tt0033337,tt0034678,tt0035442",27
tt0033993,1.0,nm0696481,Robert Preston,"tt0056262,tt0084865,tt0087597,tt0083015",23,2.0,nm0640930,movie,Pacific Blackout,0.0,\N,76,Pacific Blackout,1941,Mystery,Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",19
tt0034004,1.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",55,2.0,nm0237655,movie,The Parson of Panamint,0.0,\N,84,The Parson of Panamint,1941,"Adventure,Romance,Western",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
tt0034030,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",46,4.0,nm0829362,movie,Pirates on Horseback,0.0,\N,69,Pirates on Horseback,1941,Western,Eleanor Stewart,1913,2007,"actress,miscellaneous,archive_footage","tt0029464,tt0030690,tt0034030,tt0033238",28
tt0034056,1.0,nm0035159,Richard Arlen,"tt0024188,tt0018578,tt0021070,tt0031661",42,2.0,nm0662335,movie,Power Dive,0.0,\N,68,Power Dive,1941,"Adventure,Drama",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",26
tt0034086,1.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",36,2.0,nm0237655,movie,Reaching for the Sun,0.0,\N,90,Reaching for the Sun,1941,"Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
tt0034105,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",46,5.0,nm0829362,movie,Riders of the Timberline,0.0,\N,59,Riders of the Timberline,1941,"Drama,Western",Eleanor Stewart,1913,2007,"actress,miscellaneous,archive_footage","tt0029464,tt0030690,tt0034030,tt0033238",28
tt0034116,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",38,3.0,nm0483787,movie,Road to Zanzibar,0.0,\N,91,Road to Zanzibar,1941,"Adventure,Comedy,Musical",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",27
tt0034133,1.0,nm0228715,Richard Dix,"tt0021746,tt0015117,tt0016439,tt0016345",48,2.0,nm0605685,movie,The Round Up,0.0,\N,90,The Round Up,1941,Western,Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",26
tt0034166,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",46,4.0,nm0948540,movie,Secret of the Wastelands,0.0,\N,66,Secret of the Wastelands,1941,"Drama,Western",Soo Yong,1903,1984,"actress,archive_footage","tt0028944,tt0050933,tt0026205,tt0054885",38
tt0034182,1.0,nm0000078,John Wayne,"tt0065126,tt0056217,tt0075213,tt0053580",34,2.0,nm0275897,movie,The Shepherd of the Hills,0.0,\N,98,The Shepherd of the Hills,1941,"Adventure,Drama,Romance",Betty Field,1916,1973,"actress,soundtrack,archive_footage","tt0031742,tt0033409,tt0048491,tt0050839",25
tt0034198,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",34,1.0,nm0001055,movie,Skylark,0.0,\N,92,Skylark,1941,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",38
tt0034233,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",46,4.0,nm0392450,movie,Stick to Your Guns,0.0,\N,63,Stick to Your Guns,1941,"Drama,Western",Jennifer Holt,1920,1997,"actress,soundtrack,archive_footage","tt0039227,tt0039380,tt0037940,tt0037757",21
tt0034240,1.0,nm0566948,Joel McCrea,"tt0034240,tt0032484,tt0023238,tt0056412",36,2.0,nm0000043,movie,Sullivan's Travels,0.0,\N,90,Sullivan's Travels,1941,"Adventure,Comedy,Drama",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",19
