tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0036583,1.0,nm0114878,Wally Brown,"tt0038787,tt0038270,tt0037261,tt0036865",39,5.0,nm0485079,The Adventures of a Rookie,1943,Comedy,Margaret Landry,1922,2005,actress,"tt0036104,tt0035940,tt0036583",21,18
tt0036671,1.0,nm0550701,Alan Marshal,"tt0051744,tt0027657,tt0033858,tt0031455",35,2.0,nm0206478,Bride by Mistake,1944,"Comedy,Drama,Romance",Laraine Day,1920,2007,"actress,soundtrack,archive_footage","tt0032484,tt0038700,tt0038164,tt0042049",24,11
tt0036699,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",43,2.0,nm0942863,Casanova Brown,1944,"Comedy,Drama,Romance",Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534",26,17
tt0036864,1.0,nm0669433,Harold Peary,"tt0036864,tt0035940,tt0035941,tt0035307",36,4.0,nm0552744,Gildersleeve's Ghost,1944,"Adventure,Comedy,Fantasy",Marion Martin,1908,1985,"actress,soundtrack,archive_footage","tt0035061,tt0031619,tt0036094,tt0032273",36,0
tt0036865,1.0,nm0114878,Wally Brown,"tt0038787,tt0038270,tt0037261,tt0036865",40,3.0,nm0486387,Girl Rush,1944,"Comedy,Musical,Western",Frances Langford,1913,2005,"actress,music_department,writer","tt0029003,tt0028079,tt0026325,tt0033323",31,9
tt0036871,1.0,nm0490713,Chester Lauck,"tt0035480,tt0033379,tt0049454,tt0032417",42,3.0,nm0354853,Goin' to Town,1944,Comedy,Barbara Hale,1922,2017,"actress,soundtrack,archive_footage","tt0050051,tt0065377,tt0073043,tt0042046",22,20
tt0036902,1.0,nm0430015,Jim Jordan,"tt0076618,tt0033850,tt0036902,tt0029663",48,2.0,nm0430090,Heavenly Days,1944,"Comedy,Romance",Marian Jordan,1898,1961,"actress,soundtrack,archive_footage","tt0036902,tt0033850,tt0029663,tt0034847",46,2
tt0036919,2.0,nm0355095,Jack Haley,"tt0032138,tt0039075,tt0038091,tt0037151",46,1.0,nm0006807,Higher and Higher,1943,"Comedy,Musical,Romance",Michèle Morgan,1920,2016,"actress,archive_footage,archive_sound","tt0039004,tt0030643,tt0040338,tt0038409",23,23
tt0037167,2.0,nm0646849,Gordon Oliver,"tt0038975,tt0030287,tt0030419,tt0028882",34,1.0,nm0006471,Passport to Destiny,1944,"Comedy,War",Elsa Lanchester,1902,1986,"actress,soundtrack,archive_footage","tt0051201,tt0074937,tt0026138,tt0058331",42,-8
tt0037193,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",41,2.0,nm0562920,The Princess and the Pirate,1944,"Adventure,Comedy,Romance",Virginia Mayo,1920,2005,"actress,soundtrack,archive_footage","tt0042041,tt0036868,tt0040820,tt0043379",24,17
tt0037261,1.0,nm0114878,Wally Brown,"tt0038787,tt0038270,tt0037261,tt0036865",40,3.0,nm0570253,Seven Days Ashore,1944,"Comedy,Musical,Romance",Marcy McGuire,1926,2021,"actress,soundtrack,archive_footage","tt0036919,tt0038479,tt0035307,tt0038091",18,22
