tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0040153,2.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",36,1.0,nm0107082,movie,Behind Locked Doors,0.0,\N,62.0,movie,Behind Locked Doors,Behind Locked Doors,0,1948,\N,62,"Crime,Drama,Film-Noir",Lucille Bremer,1917,1996,"actress,soundtrack,archive_footage","tt0037059,tt0040153,tt0038262,tt0040075",31,5
tt0040155,2.0,nm0752813,Robert Ryan,"tt0065214,tt0061578,tt0070212,tt0047849",39,1.0,nm0643353,movie,Berlin Express,0.0,\N,87.0,movie,Berlin Express,Berlin Express,0,1948,\N,87,"Crime,Drama,Film-Noir",Merle Oberon,1911,1979,"actress,writer,producer","tt0032145,tt0037024,tt0034274,tt0025748",37,2
tt0040160,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",41,2.0,nm0001577,movie,The Big Clock,0.0,\N,95.0,movie,The Big Clock,The Big Clock,0,1948,\N,95,"Crime,Drama,Film-Noir",Maureen O'Sullivan,1911,1998,"actress,soundtrack,archive_footage","tt0025878,tt0091167,tt0025862,tt0023551",37,4
tt0040161,1.0,nm0606998,Wayne Morris,"tt0050825,tt0034204,tt0041486,tt0029080",34,2.0,nm0561755,movie,The Big Punch,0.0,\N,80.0,movie,The Big Punch,The Big Punch,0,1948,\N,80,"Crime,Drama,Film-Noir",Lois Maxwell,1927,2007,"actress,archive_footage","tt0059800,tt0055928,tt0066995,tt0062512",21,13
tt0040162,1.0,nm0715637,Phillip Reed,"tt0040920,tt0043072,tt0039853,tt0027869",40,2.0,nm0111702,movie,Big Town Scandal,0.0,\N,60.0,movie,Big Town Scandal,Big Town Scandal,0,1948,\N,60,"Crime,Drama",Hillary Brooke,1914,1999,"actress,archive_footage","tt0049470,tt0037671,tt0038990,tt0041191",34,6
tt0040178,1.0,nm0862937,Lawrence Tierney,"tt0105236,tt0040178,tt0110216,tt0090021",29,2.0,nm0485509,movie,Bodyguard,0.0,\N,62.0,movie,Bodyguard,Bodyguard,0,1948,\N,62,"Crime,Drama,Film-Noir",Priscilla Lane,1915,1995,"actress,soundtrack,archive_footage","tt0036613,tt0035279,tt0033409,tt0031867",33,-4
tt0040186,1.0,nm0506115,Carroll Levis,"tt0040186,tt0049134,tt0031233,tt6911830",38,2.0,nm0484808,movie,Brass Monkey,0.0,\N,90.0,movie,Brass Monkey,Brass Monkey,0,1948,\N,90,"Comedy,Crime,Musical",Carole Landis,1919,1948,"actress,writer,soundtrack","tt0033740,tt0038908,tt0034303,tt0034115",29,9
tt0040193,1.0,nm0007218,Tom Conway,"tt0034587,tt0036027,tt0038518,tt0035856",44,2.0,nm0002121,movie,Bungalow 13,0.0,\N,70.0,movie,Bungalow 13,Bungalow 13,0,1948,\N,70,"Crime,Drama,Film-Noir",Margaret Hamilton,1902,1985,"actress,soundtrack,archive_footage","tt0032138,tt0053559,tt0065492,tt0029322",46,-2
tt0040194,1.0,nm0199822,Henry H. Daniels Jr.,"tt0037059,tt0040194,tt0037539,tt0037592",26,2.0,nm0666634,movie,The Burning Cross,0.0,\N,77.0,movie,The Burning Cross,The Burning Cross,0,1947,\N,77,"Crime,Drama",Virginia Patton,1925,2022,"actress,archive_footage","tt0038650,tt0040168,tt0039335,tt0036970",22,4
tt0040196,1.0,nm0219396,Richard Denning,"tt0050105,tt0050197,tt0046876,tt0047960",34,2.0,nm0752846,movie,Caged Fury,0.0,\N,60.0,movie,Caged Fury,Caged Fury,0,1948,\N,60,"Action,Crime,Drama",Sheila Ryan,1921,1975,"actress,soundtrack,archive_footage","tt0038459,tt0039580,tt0036379,tt0033676",27,7
